Internals 	 minnodeR: 3 	 TSnode: 14 	 minnodeP: 27
Angle 4-5-6	1.4712319910120257	2.0092423126154895	1.9594307232051364
Angle 31-5-32	2.0200036222807163	2.016435117542265	1.8316413672216323
Angle 6-5-31	1.2948004524093268	1.409883772645392	1.8750638966573836
Angle 6-5-32	2.1611308311729602	1.662843223822545	1.8941666088979263
Angle 1-6-7	2.0706647131734504	2.533171354949546	2.5042146569590407
Angle 1-6-35	1.914010326806042	1.2612763057886076	0.7879681443465274
Angle 1-6-36	1.885226215425099	1.8069059631888176	1.7921217088216985
Angle 5-6-7	1.2333342694583818	1.6884179583006003	1.9332226391791976
Angle 5-6-36	1.8510513504349595	1.7632911449887834	1.9112983188910484
Angle 7-6-35	1.8704121675364427	1.9051872576158977	1.8618168849456098
Angle 7-6-36	1.851638291972047	1.8877027621095084	1.9119107332201222
Angle 35-6-36	1.8609766406731783	1.9158012586172664	1.8890802339220947
Angle 6-7-37	1.9459179090411054	1.9379421280974232	1.9216484413013981
Angle 6-7-38	1.9140044809057248	1.9144775629109838	1.9337992351128943
Angle 6-7-39	1.968669089110852	1.96754404837218	1.9356731342869467
Angle 37-7-38	1.8555656572436283	1.8647681954878133	1.8863949535034985
Angle 37-7-39	1.910666098046444	1.90214318163029	1.8908972561334239
Angle 38-7-39	1.86380845030397	1.873038428382115	1.8940987291894213
Angle 1-8-2	1.5332164174663752	1.530363844620678	1.545087913140851
Angle 1-8-11	1.3519977968259196	1.3079089717420391	1.278947739205162
Angle 1-8-12	1.4170867190783356	1.3448205806135853	1.3225540137299236
Angle 2-8-12	2.1851163759771506	2.1500564102127493	2.1519702861524115
Angle 11-8-12	1.8689428673437642	1.8674528300611342	1.8712717669399577
Angle 2-9-43	1.9262320350555886	1.9286787157517218	1.9215902658245612
Angle 2-9-44	1.9492212116614378	1.9511960317771895	1.9508222316278574
Angle 2-9-45	1.9482424470972313	1.9582877280699102	1.954007634058684
Angle 43-9-44	1.8665977500047886	1.8637289633944316	1.8665503469104001
Angle 43-9-45	1.885854877935318	1.8819572808376164	1.8844274419661058
Angle 44-9-45	1.8845390050084523	1.8758456040546074	1.8830070391936586
Angle 2-10-40	1.961254718598294	1.964477818908394	1.9433880600059332
Angle 2-10-41	1.9542814516249731	1.9487900472878168	1.9490060611432962
Angle 2-10-42	1.9136390239378727	1.9188368812748207	1.924722287127009
Angle 40-10-41	1.8795244929141592	1.8809842711890414	1.8868745822759834
Angle 40-10-42	1.8785744762349803	1.8771167966701527	1.886625949168251
Angle 41-10-42	1.8728778870511569	1.869703636811084	1.8705148224612023
Angle 1-11-8	1.1496643136608862	1.1836300084743259	1.2035870152716395
Angle 1-11-55	2.08998256085074	2.154947598842336	2.17505908193716
Angle 8-11-55	2.1602854549651327	2.1624396898067584	2.1621175183080155
Angle 15-11-55	2.2029876598826617	2.199047470734442	2.203570172514462
Angle 1-12-8	1.101298052683854	1.1559843097679157	1.1769849107425032
Angle 1-12-46	2.128881837213873	2.158109254103355	2.177134446464416
